Tangkuban Perahu,8:00,8:00,8:00,8:00,8:00,8:00,8:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,2:00
Maribaya Hot Springs,8:00,8:00,8:00,8:00,8:00,8:00,8:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,1:00
Gua Maria Karmel Lembang,7:00,7:00,7:00,7:00,7:00,7:00,7:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,2:00
Observatorium Bosscha,-,-,-,-,-,9:00,-,-,-,-,-,-,13:00,-,2:00
Gua Sanghyang Tikoro,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Stone Garden Geo Park Citatah,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,2:00
Air Terjun Maribaya,-,-,-,-,8:00,8:00,8:00,-,-,-,-,20:00,20:00,20:00,
Taman Begonia,8:00,8:00,8:00,8:00,8:00,8:00,8:00,17:00,17:00,17:00,17:00,17:00,17:30,17:30,3:00
Taman Hutan Raya Ir.H.Juanda,6:00,6:00,6:00,6:00,6:00,6:00,6:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,2:00
Curug Cimahi,7:00,7:00,7:00,7:00,7:00,7:00,7:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,1:00
Kampung Gajah Wonderland,9:00,9:00,9:00,9:00,8:00,8:00,-,17:00,17:00,17:00,17:00,17:00,17:00,-,2:00
Dusun Bambu Family Leisure Park,8:00,8:00,8:00,8:00,8:00,8:00,8:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,5:00
Floating Market Lembang,9:00,9:00,9:00,9:00,9:00,9:00,8:00,18:00,18:00,18:00,18:00,19:00,19:00,18:00,2:00
Farmhouse Susu Lembang,9:00,9:00,9:00,9:00,9:00,9:00,9:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,1:00
De'Ranch Lembang,-,9:00,9:00,9:00,9:00,8:00,8:00,-,17:00,17:00,17:00,17:00,18:00,18:00,1:30
Vihara Vipassana Graha,7:00,7:00,7:00,7:00,7:00,7:00,7:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,
Natural Hill,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,
Curug Tilu Leuwi Opat,6:00,6:00,6:00,6:00,6:00,6:00,6:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,1:30
Jendela Alam,9:00,9:00,9:00,9:00,9:00,9:00,9:00,16:00,16:00,16:00,16:00,16:00,16:30,16:30,3:00
Puspa Iptek Sundial,8:30,8:30,8:30,8:30,8:30,8:30,8:30,16:30,16:30,16:30,16:30,16:30,16:30,16:30,2:00
NuArt Sculpture Park,9:00,9:00,9:00,9:00,9:00,9:00,9:00,17:00,17:00,17:00,17:00,21:00,21:00,17:00,2:30
